name	origin_of_funds
Gobierno de España	Spanish Government
Pasqual Maragall Foundation	Private / Philanthropic
Grifols	Private / Philanthropic
Fundación de Investigación del Cáncer de la Universidad de Salamanca (FICUS)	Private / Philanthropic
WOP Foundation	Private / Philanthropic
World Cancer Research Fund International - WCRF	International / Non-EU
ERA4Health	International / Non-EU
ANCES (Asociación Nacional de CEEIs) Red de Centros Europeos de Empresas e Innovación / Business Innovation Centers	Private / Philanthropic
EMBL (European Molecular Biology Laboratory)	European Union
THCS (Transforming Health and Care Systems)	International / Non-EU
Key Digital Technologies Joint Undertaking (KDT-JU)	International / Non-EU
Barcelona Mobile Ventures S.L.	Private / Philanthropic
Royal Society of Chemistry (RSC) UK	International / Non-EU
Partnership for Advanced Computing in Europe (PRACE)	International / Non-EU
Japan Society for the Promotion of Science (JSPS)	International / Non-EU
Human Immunome Project	International / Non-EU
Alzheimer's Association	International / Non-EU
Sociedad Española de Bioquímica y Biología Molecular (SEBBM)	Private / Philanthropic
Circular Bio-Based Europe Joint Undertaking (CBE-JU)	International / Non-EU
Crue Universidades Españolas	Private / Philanthropic
Sanofi-Aventis	Private / Philanthropic
Fondation Roger de Spoelberch	Private / Philanthropic
Gilead Genèse	International / Non-EU
Cystic Fibrosis Foundation	Private / Philanthropic
Kutxa Fundazioa	Private / Philanthropic
Ministerio de Derechos Sociales	Spanish Government
Real Sociedad Española de Química (RSEQ)	Spanish Government
European Society for Molecular Imaging (ESMI)	European Union
European Materials Research Society (eMRS)	European Union
European Society of Biomaterials (ESB)	European Union
Tissue Engineering and Regenerative Medicine International Society European Chapter (TERMIS-EU)	International / Non-EU
Tissue Engineering and Regenerative Medicine International Society, Inc. (TERMIS)	International / Non-EU
ACS Publications	International / Non-EU
Convention on Pharmaceutical Ingredients (CPhI)	International / Non-EU
Swiss Chemical Society (SCS)	International / Non-EU
Gesellschaft Deutscher Chemiker (GDCh)	International / Non-EU
Achema	International / Non-EU
Spanish Biophysical Society (SBE)	Private / Philanthropic
European Biophysical Societies' Association (EBSA)	International / Non-EU
Biophysical Society (BPS)	International / Non-EU
The Wolf Foundation	Private / Philanthropic
Research Institute of Molecular Pathology (IMP)	International / Non-EU
Fundación BIAL	Private / Philanthropic
Mondragon Unibersitatea	Private / Philanthropic
Concern Foundation	Private / Philanthropic
ERA-NET CHANSE	International / Non-EU
The Brain Tumour Charity	International / Non-EU
IBSA Foundation for scientific research	Private / Philanthropic
NOB166	International / Non-EU
Sociedad Española de Materiales (SOCIEMAT)	Spanish Government
Diario ABC	Private / Philanthropic
Global Young Academy (GYA)	International / Non-EU
BASF	International / Non-EU
Hospital for Sick Children (SickKids)	International / Non-EU
Asociación Española de Investigación sobre el Cáncer (ASEICA)	Private / Philanthropic
GETICA - Grupo Español de Terapias Inmuno-Biológicas en Cáncer	Spanish Government
Fondation ARC pour la Recherche sur le Cancer	Private / Philanthropic
Animal Research Tomorrow	International / Non-EU
CEX - Centros de Excelencia	Spanish Government
Asociación Cáncer de Mama Metastásico	Private / Philanthropic
European Science Foundation	European Union
American Parkinson Disease Association (APDA)	International / Non-EU
Bill & Melinda Gates Foundation (BMGF)	Private / Philanthropic
